,title,price,rating,reviews,brand,model,storage_gb,has_5g,has_lte,year,is_unlocked,dual_sim,ram_gb,is_premium,us_version
59,ASURION 2 Year Mobile Phone Accident Protection Plan ($1000 - $1249.99),,3.3 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
60,ASURION 2 Year Mobile Phone Accident Protection Plan ($300 - $349.99),,3.6 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
61,ASURION 2 Year Mobile Phone Accident Protection Plan ($800 - $899.99),,3.4 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
62,Mobile Phone Recycling & Refurbishing Business: How to Start a Business from Old Phones ?,0..00,,by,Mobile,,,0,0,,0,0,,0,0
63,Android Phones for Seniors in easy steps: Illustrated using Android 13,"4,647..27",4.3 out of 5 stars,|,Android,,,0,0,,0,0,,0,0
64,"60W 8-Port USB Wall Charger, Multi Port USB Charger Charging Station W/LCD Compatible with Smart Phone, Tablet and Multiple Devices","9,801..57",4.5 out of 5 stars,,60W,,,0,0,,0,0,,0,0
65,"Magnetic POV/Vlog Phone Neck Mount Holder for iPhone 15/14/13/12 Pro Mini/Plus/Pro/Pro Max, Hand Free Chest Stand Video Recording for Mobile Phone Accessory","3,358..70",4.0 out of 5 stars,100+ bought in past month,Magnetic,,,0,0,,0,0,,1,0
66,"ZHIYUN Smooth 5S AI PRO Gimbal 3-Axis Handheld Stabilizer All in One Design for Mirrorless Cameras with Sony A6600,A6100,Fujifilm,Canon M50,M5,for Gopro Hero10/9/8/7, iPhone 13/12 Max","69,751..12",2.5 out of 5 stars,Only 4 left in stock - order soon.,ZHIYUN,,,0,0,,0,0,,1,0
67,"HiBoost RV Cell Phone Signal Booster|Travel 2.0 RV Booster Kit | Boost 4G & 5G LTE| for All U.S. Carriers-Verizon T-Mobile AT&T and More, RV Camper Camping Cell Signal Booster FCC Approved","95,799..95",4.0 out of 5 stars,Typical:,HiBoost,,,1,1,,0,0,,0,0
68,"14 ProMA X Unlocked Cell Phone,Smartphone Long Battery Life 6.82"" HD Screen Unlocked Phones, 16+512GB Android 13.0 with 128G Memory Card, Dual SIM/Fingerprint Lock/Face ID/GPS (Blue)","44,537..07",2.7 out of 5 stars,100+ bought in past month,14,,512.0,0,0,,1,1,,1,0
69,"OUKITEL C68 Unlocked Cell Phone -7.2''120Hz Display, 24GB+512GB Smartphone, 6000mAh Battery Phones, 64MP+8MP Camera, Android 15 Mobile Phone, 4G Dual SIM/Fingerprint/Face ID/GPS/NFC/BT5.0, Blue","70,028..45",5.0 out of 5 stars,"Save PKR 16,807.50",OUKITEL,,24.0,0,0,,1,1,,0,0
70,"Tracfone Motorola Moto g Power 2025, 128GB, Slate Gray - 6.7"" 120Hz Display, 50MP Camera, Long-Lasting Battery, 5G, Prepaid Smartphone (Locked to Tracfone)",,4.7 out of 5 stars,No featured offers available,Tracfone,,128.0,1,0,2025.0,0,0,,0,0
71,"Motorola Moto G15 4G LTE (XT2521-2) 4+128GB Dual Sim | GSM Unlocked | International Model | for T-Mobile, Metro PCS, Mint, Ultra, & Tello - (Orange)",,3.9 out of 5 stars,No featured offers available,MOTOROLA,G15 4G LTE ,128.0,0,1,,1,1,,1,0
72,"Bigme HiBreakS Color Epaper Smart Phone,3300mAh Battery, 8-Core Processor, 6GB+128GB, 5.84 Inch Mobile Phone, Dual Camera, White","85,970..36",3.2 out of 5 stars,New on Amazon in past month,Bigme,,6.0,0,0,,0,0,,1,0
73,"UMIDIGI Note 100 5G Unlocked Cell Phone, 5G Dual SIM Android 14 Phone, 50MP Camera,16(8+8) GB+256GB/TF 1TB Expend Smart Phone, 6.8"" HD+120Hz Display, Fingerprint+AI Face Unlock, Dual Mic(Blue)","43,416..57",3.6 out of 5 stars,,UMIDIGI,,256.0,1,0,,1,1,,0,0
74,"TCL 50 XE 5G T614SP Smartphone 128GB Storage 4GB RAM 6.52"" HD+ Display Verizon Prepaid & Postpaid Locked Blue","22,129..88",5.0 out of 5 stars,Only 6 left in stock - order soon.,TCL,,128.0,1,0,,0,0,,0,0
75,"Ulefone Unlocked Smartphone, Note 14 Cell Phone Unlocked, Android 12, 6.52"" IPS Full-Screen, 4500mAh, 7GB + 16GB, 3-Card Slots, 8MP Camera, Dual SIM, Face Recognition, 4G Cheap Phones - Green","16,804..70",3.7 out of 5 stars,,Ulefone,,7.0,0,0,,1,1,,0,0
76,"WWT I16PROMAX 12+512GB Smartphone Unlocked Cell Phone,6.99"" HD Screen Android 14 Battery 7000mAh Unlocked Phone,Face ID/Fingerprint Button Unlock/Photos/Dual SIM/5G/GPS (Blue, 12+512G)","44,817..20",3.0 out of 5 stars,Only 10 left in stock - order soon.,WWT,,512.0,1,0,,1,1,,0,0
77,Unlocked Cell Phone A14 Pro Max Smartphone 6GB+256GB Android Phone 13MP+50MP Camera 6.8-inch HD Screen Mobile Phone 5G Dual SIM (Blue1),"25,208..45",2.7 out of 5 stars,,Unlocked,,6.0,1,0,,1,1,,1,0
78,"Nokia G400 5G | Verizon, AT&T, T-Mobile | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/64GB | 6.58-Inch Screen | 48MP Triple Camera | Meteor Grey",,3.5 out of 5 stars,,NOKIA,,64.0,1,0,,1,0,,0,1
79,"17PROMA X 16GB+512GB 6.99"" HD Screen Smartphone Unlocked Cell Phone,Android 15,Battery 7000mAh Unlocked The Phone,Fingerprint Button Unlock/GPS/Face ID/Dual SIM/5G(Blue)","55,711..26",5.0 out of 5 stars,,17PROMA,,16.0,1,0,,1,1,,0,0
80,Easy to Use Mobile Phones,0..00,3.0 out of 5 stars,by,Easy,,,0,0,,0,0,,0,0
81,ASURION 2 Year Mobile Phone Accident Protection Plan ($1000 - $1249.99),,3.3 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
82,ASURION 2 Year Mobile Phone Accident Protection Plan ($300 - $349.99),,3.6 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
83,ASURION 2 Year Mobile Phone Accident Protection Plan ($800 - $899.99),,3.4 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
84,Inside Mobile Phones & Tablets: A Technician’s Guide to Components and Repair,"2,549..14",,by,Inside,,,0,0,,0,0,,0,0
85,Mobile Phone Recycling & Refurbishing Business: How to Start a Business from Old Phones ?,0..00,,by,Mobile,,,0,0,,0,0,,0,0
86,"Ring Light Tripod for iPhone, 10"" Selfie Ring Light with Tripod Stand and Phone Holder, Professional LED Circle Lighting for Video Recording, Conferencing, Makeup, Streaming, Tiktok, YouTube","8,400..95",4.2 out of 5 stars,Typical:,Ring,,,0,0,,0,0,,1,0
87,"USA Data SIM Card 12GB 180 Days, 4G LTE SIM Card Support for AT&T, T-Mobile and Verizon, Nano Card for Unlocked Cellular Security Cameras/Router/Hotspot WiFi/Trail Camera (Activate Needed)","8,961..20",3.6 out of 5 stars,List Price:,USA,,12.0,0,1,,1,0,,0,0
88,"DJI Osmo Mobile 8 Gimbal Stabilizer for Phone, Native Tracking with Apple DockKit, 360° Pan Rotation, Built-in Extension Rod & Tripod, 10h Battery, Extension Rod, Foldable 3-Axis Stabilization","41,738..62",4.6 out of 5 stars,7K+ bought in past month,DJI,,,0,0,,0,0,,0,0
89,"Portable Bluetooth Speaker with Lights, Stocking Stuffers, Powerful Crystal Clear Sound, IPX5 Waterproof, All Day Playtime, BT 5.3, TWS Paring, Small Wireless Speaker for Outdoor, White Elephant Gifts","6,159..95",4.6 out of 5 stars,10K+ bought in past month,Portable,,,0,0,,0,0,,0,0
90,"OUKITEL C68 Unlocked Cell Phone -7.2''120Hz Display, 24GB+512GB Smartphone, 6000mAh Battery Phones, 64MP+8MP Camera, Android 15 Mobile Phone, 4G Dual SIM/Fingerprint/Face ID/GPS/NFC/BT5.0, Blue","70,028..45",5.0 out of 5 stars,"Save PKR 16,807.50",OUKITEL,,24.0,0,0,,1,1,,0,0
91,"OUKITEL G3 Rugged Smartphone Unlocked -16GB+128GB/1TB TF 6” HD Display IP68/IP69K Rugged Android Phone, 6300mAh Battery 13MP Rear Camera Waterproof Cell Phones, 4G Dual Sim/3.5mm Jack/GPS/Face ID","36,413..45",3.8 out of 5 stars,List:,OUKITEL,,16.0,0,0,,1,1,,0,0
92,"OUKITEL C61 Pro Unlocked Phones - 24GB+256GB/1TB Android 15 Cell Phone, 5150mAh Battery, 6.88"" HD+ Screen Smartphones, 13MP+5MP Camera, 95dB Speaker, NFC/4G Dual SIM, OTG, GPS, Supports T-Mobile, Blue","36,413..45",4.5 out of 5 stars,,OUKITEL,,24.0,0,0,,1,1,,1,0
